MATCH_NUMBER,MATCH_DAY,DATE,DAY,TIME,HOME,AWAY,STADIUM
1,1,2024-03-22,Fri,8:00PM,Chennai Super Kings,Royal Challengers Bengaluru,Chennai
2,2,2024-03-23,Sat,3:30PM,Punjab Kings,Delhi Capitals,Mullanpur
3,2,2024-03-23,Sat,7:30PM,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata
4,3,2024-03-24,Sun,3:30PM,Rajasthan Royals,Lucknow Super Giants,Jaipur
5,3,2024-03-24,Sun,7:30PM,Gujarat Titans,Mumbai Indians,Ahmedabad
6,4,2024-03-25,Mon,7:30PM,Royal Challengers Bengaluru,Punjab Kings,Bengaluru
7,5,2024-03-26,Tue,7:30PM,Chennai Super Kings,Gujarat Titans,Chennai
8,6,2024-03-27,Wed,7:30PM,Sunrisers Hyderabad,Mumbai Indians,Hyderabad
9,7,2024-03-28,Thu,7:30PM,Rajasthan Royals,Delhi Capitals,Jaipur
10,8,2024-03-29,Fri,7:30PM,Royal Challengers Bengaluru,Kolkata Knight Riders,Bengaluru
11,9,2024-03-30,Sat,7:30PM,Lucknow Super Giants,Punjab Kings,Lucknow
12,10,2024-03-31,Sun,3:30PM,Gujarat Titans,Sunrisers Hyderabad,Ahmedabad
13,10,2024-03-31,Sun,7:30PM,Delhi Capitals,Chennai Super Kings,Visakhapatnam
14,11,2024-04-01,Mon,7:30PM,Mumbai Indians,Rajasthan Royals,Mumbai
15,12,2024-04-02,Tue,7:30PM,Royal Challengers Bengaluru,Lucknow Super Giants,Bengaluru
16,13,2024-04-03,Wed,7:30PM,Delhi Capitals,Kolkata Knight Riders,Visakhapatnam
17,14,2024-04-04,Thu,7:30PM,Gujarat Titans,Punjab Kings,Ahmedabad
18,15,2024-04-05,Fri,7:30PM,Sunrisers Hyderabad,Chennai Super Kings,Hyderabad
19,16,2024-04-06,Sat,7:30PM,Rajasthan Royals,Royal Challengers Bengaluru,Jaipur
20,17,2024-04-07,Sun,3:30PM,Mumbai Indians,Delhi Capitals,Mumbai
21,17,2024-04-07,Sun,7:30PM,Lucknow Super Giants,Gujarat Titans,Lucknow
22,18,2024-04-08,Mon,7:30PM,Chennai Super Kings,Kolkata Knight Riders,Chennai
23,19,2024-04-09,Tue,7:30PM,Punjab Kings,Sunrisers Hyderabad,Mullanpur
24,20,2024-04-10,Wed,7:30PM,Rajasthan Royals,Gujarat Titans,Jaipur
25,21,2024-04-11,Thu,7:30PM,Mumbai Indians,Royal Challengers Bengaluru,Mumbai
26,22,2024-04-12,Fri,7:30PM,Lucknow Super,Giants Delhi Capitals,Lucknow
27,23,2024-04-13,Sat,7:30PM,Punjab Kings,Rajasthan Royals,Mullanpur
28,24,2024-04-14,Sun,3:30PM,Kolkata Knight Riders,Lucknow Super Giants,Kolkata
29,24,2024-04-14,Sun,7:30PM,Mumbai Indians,Chennai Super Kings,Mumbai
30,25,2024-04-15,Mon,7:30PM,Royal Challengers Bengaluru,Sunrisers Hyderabad,Bengaluru
31,26,2024-04-16,Tue,7:30PM,Gujarat Titans,Delhi Capitals,Ahmedabad
32,27,2024-04-17,Wed,7:30PM,Kolkata Knight Riders,Rajasthan Royals,Kolkata
33,28,2024-04-18,Thu,7:30PM,Punjab Kings,Mumbai Indians,Mullanpur
34,29,2024-04-19,Fri,7:30PM,Lucknow Super Giants,Chennai Super Kings,Lucknow
35,30,2024-04-20,Sat,7:30PM,Delhi Capitals,Sunrisers Hyderabad,Delhi
36,31,2024-04-21,Sun,3:30PM,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata
37,31,2024-04-21,Sun,7:30PM,Punjab Kings,Gujarat Titans,Mullanpur
38,32,2024-04-22,Mon,7:30PM,Rajasthan Royals,Mumbai Indians,Jaipur
39,33,2024-04-23,Tue,7:30PM,Chennai Super Kings,Lucknow Super Giants,Chennai
